DateResult: Day,IdQueue,NameMailSender,Count
2025-09-01T00:00:00+03:00,259,production200-mail-sender-200,27
2025-09-01T00:00:00+03:00,62,production100-mail-sender-1,25
2025-09-01T00:00:00+03:00,528,production100-mail-sender-1,15
2025-09-01T00:00:00+03:00,528,production200-mail-sender-200,14
2025-09-01T00:00:00+03:00,528,production-mail-sender-aws,14
2025-09-01T00:00:00+03:00,528,production-mail-sender-1,13
2025-09-01T00:00:00+03:00,549,production-mail-sender-1,11
2025-09-01T00:00:00+03:00,549,production100-mail-sender-101,10
2025-09-01T00:00:00+03:00,549,production100-mail-sender-1,9
2025-09-01T00:00:00+03:00,527,production-mail-sender-aws,5
2025-09-01T00:00:00+03:00,2140,production-mail-sender-aws,5
2025-09-01T00:00:00+03:00,582,production100-mail-sender-104,3
2025-09-01T00:00:00+03:00,582,production200-mail-sender-200,3
2025-09-01T00:00:00+03:00,10,production-mail-sender-1,2
2025-09-01T00:00:00+03:00,2143,production100-mail-sender-104,2
2025-09-01T00:00:00+03:00,12,production-mail-sender-1,1
2025-09-01T00:00:00+03:00,689,production100-mail-sender-104,1
2025-09-02T00:00:00+03:00,2,production-mail-sender-3,20133
2025-09-02T00:00:00+03:00,2,production-mail-sender-5,20026
2025-09-02T00:00:00+03:00,2,production-mail-sender-2,20015
2025-09-02T00:00:00+03:00,2,production-mail-sender-4,19983
2025-09-02T00:00:00+03:00,2,production-mail-sender-1,19870
2025-09-02T00:00:00+03:00,2,production100-mail-sender-104,19650
2025-09-02T00:00:00+03:00,2,production100-mail-sender-109,19609
2025-09-02T00:00:00+03:00,2,production100-mail-sender-108,19569
2025-09-02T00:00:00+03:00,2,production100-mail-sender-106,19553
2025-09-02T00:00:00+03:00,2,production100-mail-sender-107,19538
2025-09-02T00:00:00+03:00,2,production100-mail-sender-105,19510
2025-09-02T00:00:00+03:00,2,production100-mail-sender-102,19488
2025-09-02T00:00:00+03:00,2,production100-mail-sender-101,19465
2025-09-02T00:00:00+03:00,2,production100-mail-sender-103,19387
2025-09-02T00:00:00+03:00,2,production100-mail-sender-1,19219
2025-09-02T00:00:00+03:00,2,production100-mail-sender-113,19208
2025-09-02T00:00:00+03:00,2,production100-mail-sender-112,19162
2025-09-02T00:00:00+03:00,2,production100-mail-sender-110,18966
2025-09-02T00:00:00+03:00,2,production100-mail-sender-111,18907
2025-09-02T00:00:00+03:00,2,production200-mail-sender-200,14728
2025-09-02T00:00:00+03:00,4,production100-mail-sender-101,14586
2025-09-02T00:00:00+03:00,3,production-mail-sender-aws-21,13442
2025-09-02T00:00:00+03:00,3,production-mail-sender-aws-22,13391
2025-09-02T00:00:00+03:00,3,production-mail-sender-aws,13381
2025-09-02T00:00:00+03:00,4,production-mail-sender-3,13131
2025-09-02T00:00:00+03:00,4,production-mail-sender-5,12962
2025-09-02T00:00:00+03:00,4,production-mail-sender-2,12951
2025-09-02T00:00:00+03:00,4,production-mail-sender-4,12947
2025-09-02T00:00:00+03:00,4,production-mail-sender-1,12654
